TEAM_NAME,FIRST_YEAR,LAST_YEAR,HOME_ALTITUDE,TIMEZONE
76ers,1973,2021,39,0
Bucks,1968,2021,617,-1
Bulls,1966,2021,577,-1
Cavaliers,1970,2021,653,0
Celtics,1946,2021,141,0
Clippers,1984,2021,305,-3
Grizzlies,2001,2021,338,-1
Hawks,1968,2021,738,0
Heat,1988,2021,7,0
Hornets,2004,2021,751,0
Jazz,1979,2021,4226,-2
Kings,1985,2021,30,-3
Knicks,1946,2021,36,0
Lakers,1960,2021,305,-3
Magic,1989,2021,112,0
Mavericks,1980,2021,430,-1
Nets,2012,2021,49,0
Nets,1977,2011,49,0
Nuggets,1974,2021,5279,-2
Pacers,1967,2021,715,0
Pelicans,2002,2021,20,-1
Pistons,1957,2021,600,0
Raptors,1995,2021,249,0
Rockets,1971,2021,43,-1
Spurs,1973,2021,650,-1
Suns,1968,2021,1086,-3
Thunder,2008,2021,1201,-1
Thunder,1967,2007,66,-3
Timberwolves,1989,2021,866,-1
Trail Blazers,1970,2021,499,-3
Warriors,1971,2021,43,-3
Wizards,1997,2021,335,0
