SEASON,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
2019,Giannis Antetokounmpo,LeBron James,James Harden,Anthony Davis,Luka Doncic
2018,Giannis Antetokounmpo,Paul George,Nikola Jokic,James Harden,Stephen Curry
2017,LeBron James,Kevin Durant,Anthony Davis,James Harden,Damian Lillard
2016,LeBron James,Kawhi Leonard,Anthony Davis,James Harden,Russell Westbrook
2015,LeBron James,Kawhi Leonard,DeAndre Jordan,Stephen Curry,Russell Westbrook
2014,LeBron James,Anthony Davis,Marc Gasol,Stephen Curry,James Harden
2013,Kevin Durant,LeBron James,Joakim Noah,James Harden,Chris Paul
2012,LeBron James,Kevin Durant,Tim Duncan,Kobe Bryant,Chris Paul
2011,Kevin Durant,LeBron James,Dwight Howard,Kobe Bryant,Derrick Rose
2010,Kevin Durant,LeBron James,Dwight Howard,Kobe Bryant,Derrick Rose
2009,Kevin Durant,LeBron James,Dwight Howard,Kobe Bryant,Dwyane Wade
2008,Dirk Nowitzki,LeBron James,Dwight Howard,Kobe Bryant,Dwyane Wade
2007,Kevin Garnett,LeBron James,Dwight Howard,Kobe Bryant,Chris Paul
2006,Tim Duncan,Dirk Nowitzki,Amar'e Stoudemire,Kobe Bryant,Steve Nash
2005,LeBron James,Dirk Nowitzki,Shaquille O'Neal,Kobe Bryant,Steve Nash
2004,Tim Duncan,Dirk Nowitzki,Shaquille O'Neal,Allen Iverson,Steve Nash
2003,Tim Duncan,Kevin Garnett,Shaquille O'Neal,Kobe Bryant,Jason Kidd
2002,Tim Duncan,Kevin Garnett,Shaquille O'Neal,Kobe Bryant,Tracy McGrady
