SEASON,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
2019,Jayson Tatum,Jimmy Butler,Rudy Gobert,Ben Simmons,Russell Westbrook
2018,Blake Griffin,LeBron James,Rudy Gobert,Russell Westbrook,Kemba Walker
2017,Paul George,Jimmy Butler,Karl-Anthony Towns,Stephen Curry,Victor Oladipo
2016,Draymond Green,Jimmy Butler,DeAndre Jordan,John Wall,DeMar DeRozan
2015,Paul George,LaMarcus Aldridge,Andre Drummond,Klay Thompson,Kyle Lowry
2014,Blake Griffin,Tim Duncan,DeAndre Jordan,Klay Thompson,Kyrie Irving
2013,Paul George,LaMarcus Aldridge,Al Jefferson,Goran Dragic,Damian Lillard
2012,David Lee,Paul George,Dwight Howard,Dwyane Wade,James Harden
2011,Carmelo Anthony,Dirk Nowitzki,Tyson Chandler,Dwyane Wade,Rajon Rondo
2010,LaMarcus Aldridge,Zach Randolph,Al Horford,Manu Ginobili,Chris Paul
2009,Tim Duncan,Pau Gasol,Andrew Bogut,Joe Johnson,Brandon Roy
2008,Carmelo Anthony,Pau Gasol,Shaquille O'Neal,Chauncey Billups,Tony Parker
2007,Carlos Boozer,Paul Pierce,Yao Ming,Manu Ginobili,Tracy McGrady
2006,Carmelo Anthony,Kevin Garnett,Dwight Howard,Chauncey Billups,Dwyane Wade
2005,Carmelo Anthony,Kevin Garnett,Yao Ming,Gilbert Arenas,Allen Iverson
2004,Shawn Marion,Tracy McGrady,Ben Wallace,Gilbert Arenas,Kobe Bryant
2003,Ron Artest,Dirk Nowitzki,Yao Ming,Baron Davis,Michael Redd
2002,Jamal Mashburn,Paul Pierce,Jermaine O'Neal,Stephen Marbury,Steve Nash
